id,name,name_en,name_cn,x_pos,y_pos,address,parking_count
ST0453,만년동 엑스포오피스텔,만년동 엑스포오피스텔,만년동 엑스포오피스텔,36.367285,127.382452,만년동 384,4
ST0454,만년동 까페베네,만년동 까페베네,만년동 까페베네,36.366118,127.382011,만년동 25,5
ST0455,만년동 왕가한정식,만년동 왕가한정식,만년동 왕가한정식,36.365834,127.381235,만년동 361,4
ST0456,둔산경찰서(대덕대로),둔산경찰서(대덕대로),둔산경찰서(대덕대로),36.358615,127.379730,둔산동 943,0
ST0457,중촌동 115-5번지(대전천서로),중촌동 115-5번지(대전천서로),중촌동 115-5번지(대전천서로),36.339571,127.413904,중촌동 8-1,0
ST0459,목동 올리브힐 정문,목동 올리브힐 정문,목동 올리브힐 정문,36.336824,127.406181,대전광역시 중구 목동 362,0
ST0461,탄방동 공영주차장,탄방동 공영주차장,탄방동 공영주차장,36.345683,127.399695,탄방동 1380,2
ST0462,봉명동 투유아파트 1차,봉명동 투유아파트 1차,봉명동 투유아파트 1차,36.355963,127.351460,대전광역시 유성구 봉명동 693,1
ST0463,도미노피자 대전도안점,도미노피자 대전도안점,도미노피자 대전도안점,36.307266,127.352055,가수원동 229-5,0
ST0464,올리브영 대전가수원점,올리브영 대전가수원점,올리브영 대전가수원점,36.304983,127.351179,가수원동 446-25,1
ST0465,도안동 엠케이빌딩(국수나무),도안동 엠케이빌딩(국수나무),도안동 엠케이빌딩(국수나무),36.304612,127.349871,가수원동 1050,1
ST0466,둔산 SK브로드밴드,둔산 SK브로드밴드,둔산 SK브로드밴드,36.351133,127.380637,둔산동 1539,0
ST0467,은하수아파트(102동),은하수아파트(102동),은하수아파트(102동),36.348739,127.380121,대전광역시 서구 둔산동 1538,0
ST0468,덕명동 S-OIL 건너편,덕명동 S-OIL 건너편,덕명동 S-OIL 건너편,36.347763,127.299878,덕명동 597-14,2
ST0469,성하타운,성하타운,성하타운,36.441003,127.430795,신탄진동 248-5,0
ST0470,신탄진초등학교 뒤편,신탄진초등학교 뒤편,신탄진초등학교 뒤편,36.449555,127.421339,석봉동 308-7,0
ST0471,석봉어린이공원,석봉어린이공원,석봉어린이공원,36.449405,127.427514,석봉동 718-2,0
